Date,ACXIX,CSLABMF
10/31/2007,10000.00,10000.00
11/30/2007,9845.00,9800.42
12/31/2007,10257.50,9805.92
1/31/2008,10333.40,10376.38
2/29/2008,11786.30,11088.04
3/31/2008,11180.50,10962.07
4/30/2008,11094.40,10416.32
5/31/2008,11310.70,10437.06
6/30/2008,12034.60,10711.66
7/31/2008,11339.00,10264.62
8/31/2008,10859.40,10333.36
9/30/2008,10521.60,10669.80
10/31/2008,10563.70,11518.83
11/30/2008,11332.80,11926.18
12/31/2008,11565.10,12064.57
1/31/2009,11613.70,12056.00
2/28/2009,11707.70,12126.02
3/31/2009,11725.30,11987.51
4/30/2009,11397.00,11780.75
5/31/2009,11047.10,11964.97
6/30/2009,11236.00,11653.25
7/31/2009,11194.40,11787.41
8/31/2009,11434.00,11810.20
9/30/2009,11665.00,12060.73
10/31/2009,11634.60,11907.88
11/30/2009,12191.90,12431.86
12/31/2009,12102.90,12176.21
1/31/2010,11676.90,11697.16
2/28/2010,11924.50,11778.58
3/31/2010,12241.60,12038.07
4/30/2010,12464.40,12069.18
5/31/2010,11969.60,12209.62
6/30/2010,12082.10,12274.27
7/31/2010,12402.30,11982.64
8/31/2010,12588.30,12324.33
9/30/2010,13173.70,12431.35
10/31/2010,13779.70,12871.10
11/30/2010,13628.10,12282.21
12/31/2010,14061.50,12780.84
1/31/2011,14172.60,12801.97
2/28/2011,14528.30,12935.49
3/31/2011,14499.20,12465.40
4/30/2011,15047.30,12835.38
5/31/2011,14502.60,12383.73
6/30/2011,14351.80,11999.92
7/31/2011,14845.50,12374.76
8/31/2011,14985.00,12381.29
9/30/2011,14397.60,12631.06
10/31/2011,14222.00,12103.36
11/30/2011,14133.80,12153.67
12/31/2011,14142.30,12161.10
1/31/2012,14302.10,12123.72
2/29/2012,14314.90,12238.17
3/31/2012,14300.60,12065.34
4/30/2012,14312.10,11918.89
5/31/2012,14126.00,12217.43
6/30/2012,13891.50,11530.48
7/31/2012,14088.80,11687.56
8/31/2012,14181.80,11511.78
9/30/2012,14076.80,11359.82
10/31/2012,13807.90,11085.73
11/30/2012,13766.50,11013.28
12/31/2012,13649.50,11194.17
1/31/2013,13694.60,11439.20
2/28/2013,13556.20,11451.36
3/31/2013,13640.30,11618.42
4/30/2013,13752.10,11852.44
5/31/2013,13434.50,11801.49
6/30/2013,13038.10,11883.04
7/31/2013,13043.40,11740.04
8/31/2013,13059.00,11646.08
9/30/2013,13180.50,11610.49
10/31/2013,13299.10,11556.46
11/30/2013,13593.00,11912.10
12/31/2013,13605.20,12032.06
1/31/2014,13565.80,11617.02
2/28/2014,13842.50,11570.80
3/31/2014,13778.80,11426.40
4/30/2014,13971.70,11448.54
5/31/2014,14227.40,11502.18
6/30/2014,14466.40,11502.44
7/31/2014,14411.50,11528.55
8/31/2014,14659.40,11901.35
9/30/2014,14402.80,12411.51
10/31/2014,14398.50,12552.71
11/30/2014,14670.60,13457.17
12/31/2014,15055.00,13929.69
1/31/2015,15861.90,15071.76
2/28/2015,15704.90,14874.60
3/31/2015,15863.50,15511.12
4/30/2015,15616.10,14896.37
5/31/2015,15856.50,15017.22
6/30/2015,15544.20,14347.04
7/31/2015,15575.30,14721.62
8/31/2015,15080.00,14466.86
9/30/2015,15280.00,14803.55
10/31/2015,14920.00,14229.39
11/30/2015,15090.00,14525.37
12/31/2015,14900.00,14426.02
1/31/2016,15770.00,14903.54
2/29/2016,15970.00,15355.70
3/31/2016,15340.00,15119.89
4/30/2016,14970.00,15205.54
5/31/2016,14820.00,14745.69
6/30/2016,15550.00,15327.67
7/31/2016,15710.00,15334.20
8/31/2016,15440.00,14947.58
9/30/2016,15330.00,15015.43
10/31/2016,14890.00,14717.65
11/30/2016,14690.00,14892.91
12/31/2016,14683.28,15030.02
1/31/2017,14572.50,14577.22
2/28/2017,14904.84,14696.79
3/31/2017,15005.55,14408.87
4/30/2017,15267.39,14229.64
5/31/2017,15327.81,14245.26
6/30/2017,14894.77,13967.97
7/31/2017,14753.77,14320.15
8/31/2017,14713.49,14646.99
9/30/2017,14320.73,14223.24
10/31/2017,14592.64,14395.56
11/30/2017,14703.42,14507.06
12/31/2017,14924.98,14691.41
1/31/2018,15821.28,15580.63
2/28/2018,15317.74,14320.15
3/31/2018,15015.62,13941.60
4/30/2018,14763.85,13518.36
5/31/2018,14773.92,13368.20
6/30/2018,14743.70,13532.45
7/31/2018,14763.85,13449.23
8/31/2018,14814.20,13636.27
9/30/2018,14804.13,13559.20
10/31/2018,14592.64,13371.14
11/30/2018,14643.00,13252.98
12/31/2018,14673.21,14044.65
1/31/2019,14824.27,13455.38
2/28/2019,14884.70,13295.99
3/31/2019,14894.77,13622.06
4/30/2019,15106.25,13689.91
5/31/2019,14985.40,13791.94
6/30/2019,15015.62,13902.94
7/31/2019,14945.12,14121.08
8/31/2019,14894.77,14640.97
9/30/2019,14713.49,13986.92
10/31/2019,14885.00,13566.88
11/30/2019,14935.00,13490.58
12/31/2019,15035.00,13403.79
1/31/2020,15350.00,13046.23
2/29/2020,14783.00,12788.65
3/31/2020,13986.00,13205.74
4/30/2020,14017.00,13065.30
5/31/2020,14154.00,12980.55
6/30/2020,14353.00,12664.22
7/31/2020,14762.00,12893.50
8/31/2020,14783.00,13150.69
9/30/2020,14689.00,12805.42
10/31/2020,14573.00,12833.08
11/30/2020,15570.00,13096.16
12/31/2020,15764.00,13646.00
