Date,CFHIX,Bloomberg Commodity Index
9/30/2015,10000.00 ,10000.00
10/31/2015,10050.00 ,9955.38
11/30/2015,9940.00 ,9233.19
12/31/2015,9940.00 ,8948.28
1/31/2016,9650.00 ,8797.89
2/29/2016,9580.00 ,8654.79
3/31/2016,10110.00 ,8985.54
4/30/2016,10270.00 ,9750.41
5/31/2016,10700.00 ,9731.99
6/30/2016,10920.00 ,10134.00
7/31/2016,10920.00 ,9616.00
8/31/2016,11000.00 ,9446.55
9/30/2016,11160.00 ,9742.42
10/31/2016,11170.00 ,9694.83
11/30/2016,10620.00 ,9824.11
12/31/2016,10470.53 ,10001.19
1/31/2017,10855.33 ,10014.74
2/28/2017,11108.48 ,10035.65
3/31/2017,11067.98 ,9768.55
4/30/2017,11057.85 ,9621.47
5/31/2017,11108.48 ,9493.68
6/30/2017,11148.99 ,9475.43
7/31/2017,11128.74 ,9689.68
8/31/2017,11199.62 ,9728.74
9/30/2017,11189.49 ,9714.23
10/31/2017,11179.37 ,9922.54
11/30/2017,11189.49 ,9876.77
12/31/2017,11392.13 ,10171.64
1/31/2018,11268.52 ,10373.64
2/28/2018,11629.03 ,10194.23
3/31/2018,11752.64 ,10130.87
4/30/2018,11618.73 ,10392.70
5/31/2018,11752.64 ,10539.93
6/30/2018,11114.02 ,10171.45
7/31/2018,11072.82 ,9954.36
8/31/2018,10743.21 ,9778.12
9/30/2018,10599.00 ,9965.63
10/31/2018,11124.32 ,9750.49
11/30/2018,10918.31 ,9695.59
12/31/2018,11443.09 ,9027.79
1/31/2019,11567.93 ,9519.49
2/28/2019,11391.08 ,9615.86
3/31/2019,11287.05 ,9598.70
4/30/2019,10870.94 ,9558.23
5/31/2019,11380.68 ,9236.64
6/30/2019,11380.68 ,9484.69
7/31/2019,11505.51 ,9420.90
8/31/2019,11557.52 ,9202.38
9/30/2019,11723.97 ,9310.47
10/31/2019,11828.00 ,9498.72
11/30/2019,11870.00 ,9255.51
12/31/2019,11880.00 ,9722.11
1/31/2020,12348.00 ,9006.87
2/29/2020,12307.00 ,8552.90
3/31/2020,11797.00 ,7457.35
4/30/2020,11006.00 ,7342.63
5/31/2020,11339.00 ,7661.33
6/30/2020,11360.00 ,7836.18
7/31/2020,11162.00 ,8283.43
8/31/2020,11183.00 ,8843.66
9/30/2020,11121.00 ,8547.27
10/31/2020,11162.00 ,8667.67
11/30/2020,10850.00 ,8972.13
12/31/2020,10632.00 ,9418.41
1/31/2021,10455.00 ,9665.70
2/28/2021,10257.00 ,10291.12
3/31/2021,10205.00 ,10070.18
