Date,LSTA,AGG
12/31/2008,10000.00,10000.00
1/31/2009,10834.42,9911.77
2/28/2009,10796.12,9874.36
3/31/2009,11114.40,10011.62
4/30/2009,12230.18,10059.49
5/31/2009,12882.86,10132.45
6/30/2009,13318.80,10190.08
7/31/2009,14039.81,10354.45
8/31/2009,14213.69,10461.66
9/30/2009,14673.61,10571.56
10/31/2009,14581.30,10623.75
11/30/2009,14603.37,10761.30
12/31/2009,15223.06,10593.08
1/31/2010,15445.22,10754.90
2/28/2010,15418.38,10795.06
3/31/2010,15867.36,10781.79
4/30/2010,16101.40,10894.02
5/31/2010,15530.09,10985.70
6/30/2010,15457.10,11157.97
7/31/2010,15801.05,11277.01
8/31/2010,15810.39,11422.12
9/30/2010,16092.49,11434.29
10/31/2010,16393.58,11475.00
11/30/2010,16397.72,11409.05
12/31/2010,16692.34,11286.02
1/31/2011,17100.90,11299.15
2/28/2011,17130.61,11327.42
3/31/2011,17106.42,11333.68
4/30/2011,17198.93,11477.55
5/31/2011,17128.91,11627.33
6/30/2011,17017.62,11593.29
7/31/2011,17037.14,11777.25
8/31/2011,16201.45,11949.32
9/30/2011,16201.02,12036.24
10/31/2011,16905.27,12049.17
11/30/2011,16678.34,12038.72
12/31/2011,16795.99,12171.03
1/31/2012,17281.69,12277.90
2/29/2012,17408.57,12275.08
3/31/2012,17530.37,12207.83
4/30/2012,17651.42,12343.17
5/31/2012,17435.20,12454.85
6/30/2012,17616.62,12459.73
7/31/2012,17897.13,12631.59
8/31/2012,18126.51,12639.85
9/30/2012,18339.12,12657.25
10/31/2012,18350.04,12682.14
11/30/2012,18363.73,12702.15
12/31/2012,18561.38,12684.07
1/31/2013,18786.08,12595.35
2/28/2013,18803.06,12658.48
3/31/2013,18956.36,12668.59
4/30/2013,19067.87,12796.78
5/31/2013,19090.47,12568.46
6/30/2013,18920.19,12374.05
7/31/2013,19155.92,12390.96
8/31/2013,19113.28,12327.63
9/30/2013,19141.81,12444.33
10/31/2013,19305.94,12544.94
11/30/2013,19409.17,12497.97
12/31/2013,19494.04,12427.34
1/31/2014,19614.25,12610.96
2/28/2014,19624.32,12678.01
3/31/2014,19690.42,12656.42
4/30/2014,19716.52,12763.22
5/31/2014,19866.54,12908.53
6/30/2014,19976.55,12915.21
7/31/2014,19925.73,12882.81
8/31/2014,19972.73,13025.03
9/30/2014,19780.07,12936.59
10/31/2014,19900.70,13063.75
11/30/2014,19972.63,13156.45
12/31/2014,19687.34,13168.76
1/31/2015,19727.24,13444.88
2/28/2015,20013.05,13318.48
3/31/2015,20050.92,13380.30
4/30/2015,20196.91,13332.30
5/31/2015,20207.62,13300.19
6/30/2015,20033.21,13155.15
7/31/2015,19961.70,13246.61
8/31/2015,19776.89,13227.56
9/30/2015,19585.81,13317.03
10/31/2015,19587.83,13319.30
11/30/2015,19382.86,13284.09
12/31/2015,19145.00,13241.18
1/31/2016,19062.88,13423.35
2/29/2016,19022.25,13518.60
3/31/2016,19621.78,13642.60
4/30/2016,20081.05,13695.00
5/31/2016,20202.74,13698.51
6/30/2016,20171.55,13944.64
7/31/2016,20502.56,14032.80
8/31/2016,20646.85,14016.78
9/30/2016,20770.23,14008.53
10/31/2016,20920.04,13901.38
11/30/2016,20957.91,13572.59
12/31/2016,21228.56,13591.71
1/31/2017,21299.85,13618.39
2/28/2017,21407.00,13709.92
3/31/2017,21394.91,13702.70
4/30/2017,21482.22,13808.47
5/31/2017,21577.28,13914.72
6/30/2017,21530.07,13900.76
7/31/2017,21695.90,13960.59
8/31/2017,21650.38,14085.76
9/30/2017,21723.48,14018.71
10/31/2017,21845.38,14026.82
11/30/2017,21861.40,14008.80
12/31/2017,21930.89,14073.10
1/31/2018,22166.63,13911.01
2/28/2018,22179.68,13779.18
3/31/2018,22238.98,13867.55
4/30/2018,22329.06,13764.39
5/31/2018,22330.54,13862.60
6/30/2018,22333.30,13845.54
7/31/2018,22530.95,13848.84
8/31/2018,22643.84,13937.97
9/30/2018,22801.49,13848.22
10/31/2018,22756.19,13738.81
11/30/2018,22506.34,13820.78
12/31/2018,21795.52,14074.69
1/31/2019,22570.53,14224.19
2/28/2019,23023.33,14215.94
3/31/2019,22913.31,14488.89
4/30/2019,23391.68,14492.61
5/31/2019,23235.09,14749.88
6/30/2019,23276.47,14935.08
7/31/2019,23518.89,14967.95
8/31/2019,23426.27,15355.82
9/30/2019,23585.62,15274.05
10/31/2019,23538.94,15320.06
11/30/2019,23715.69,15312.22
12/31/2019,24116.83,15301.56
1/31/2020,24169.88,15596.04
2/29/2020,23700.73,15876.76
3/31/2020,21734.09,15783.30
4/30/2020,22444.70,16063.89
5/31/2020,23213.87,16138.64
6/30/2020,23168.25,16240.35
7/31/2020,23677.07,16482.91
8/31/2020,23986.44,16349.84
9/30/2020,23988.35,16340.90
10/31/2020,23899.45,16267.93
11/30/2020,24539.29,16427.55
12/31/2020,24800.92,16450.18
