Date,CLTAX,Lipper
7/2/2012,10000.00,10000.00
7/31/2012,10020.00,10123.00
8/31/2012,10430.00,10331.00
9/30/2012,10410.00,10555.00
10/31/2012,10300.00,10482.00
11/30/2012,10470.00,10574.00
12/31/2012,10618.42,10718.00
1/31/2013,11176.75,11047.00
2/28/2013,11268.12,11059.00
3/31/2013,11704.63,11243.00
4/30/2013,12070.08,11398.00
5/31/2013,12506.59,11393.00
6/30/2013,12303.56,11132.00
7/31/2013,12963.41,11538.00
8/31/2013,12628.41,11354.00
9/30/2013,13004.01,11753.00
10/31/2013,13745.07,12085.00
11/30/2013,14323.70,12200.00
12/31/2013,14701.30,12384.00
1/31/2014,14015.80,12176.00
2/28/2014,14659.12,12637.00
3/31/2014,14827.85,12626.00
4/30/2014,14891.13,12645.00
5/31/2014,15228.61,12897.00
6/30/2014,15291.88,13127.00
7/31/2014,14912.22,12933.00
8/31/2014,15502.81,13198.00
9/30/2014,15428.98,12885.00
10/31/2014,15829.74,12964.00
11/30/2014,16567.97,13080.00
12/31/2014,16398.24,12919.00
1/31/2015,15994.45,12905.00
2/28/2015,17104.87,13261.00
3/31/2015,16846.89,13109.00
4/30/2015,16476.75,13268.00
5/31/2015,16544.05,13296.00
6/30/2015,16016.89,13050.00
7/31/2015,16129.05,13117.00
8/31/2015,15332.69,12577.00
9/30/2015,15097.15,12263.00
10/31/2015,16297.29,12855.00
11/30/2015,16443.11,12788.00
12/31/2015,15849.93,12593.00
1/31/2016,15179.87,12121.00
2/29/2016,15386.98,12118.00
3/31/2016,16398.16,12710.00
4/30/2016,15959.58,12885.00
5/31/2016,16057.04,12923.00
6/30/2016,15849.93,12958.00
7/31/2016,16544.36,13347.00
8/31/2016,16617.45,13382.00
9/30/2016,16532.17,13464.00
10/31/2016,16312.88,13286.00
11/30/2016,17372.79,13337.00
12/31/2016,17654.98,13494.00
1/31/2017,17938.94,13784.00
2/28/2017,18556.25,14072.00
3/31/2017,18655.02,14178.00
4/30/2017,18667.36,14356.00
5/31/2017,18556.25,14549.00
6/30/2017,18358.71,14604.00
7/31/2017,18593.29,14872.00
8/31/2017,18371.05,14927.00
9/30/2017,18963.67,15102.00
10/31/2017,19222.94,15279.00
11/30/2017,20025.44,15446.00
12/31/2017,20603.76,15581.00
1/31/2018,21708.21,16093.00
2/28/2018,21238.50,15620.00
3/31/2018,20641.85,15503.00
4/30/2018,20718.01,15556.00
5/31/2018,21390.84,15618.00
6/30/2018,21479.71,15606.00
7/31/2018,22381.04,15910.00
8/31/2018,23244.29,15972.00
9/30/2018,23244.29,15991.00
10/31/2018,21695.52,15185.00
11/30/2018,21885.94,15343.00
12/31/2018,19581.99,14631.00
1/31/2019,19477.76,15516.00
2/28/2019,19451.70,15811.00
3/31/2019,19608.04,16005.00
4/30/2019,19595.01,16374.00
5/31/2019,19881.64,15790.00
6/30/2019,20037.99,16525.00
7/31/2019,19972.84,16566.00
8/31/2019,20311.59,16431.00
9/30/2019,20194.33,16579.00
10/31/2019,20233.00,16818.00
11/30/2019,20155.00,17139.00
12/31/2019,20124.00,17559.00
1/31/2020,20329.00,17497.00
2/29/2020,18794.00,16680.00
3/31/2020,17625.00,14784.00
4/30/2020,19145.00,16045.00
5/31/2020,20007.00,16700.00
6/30/2020,20182.00,17088.00
7/31/2020,21162.00,17794.00
8/31/2020,22608.00,18456.00
9/30/2020,22404.00,18071.00
10/31/2020,22068.00,17862.00
11/30/2020,24874.00,19464.00
12/31/2020,25725.00,20195.00
1/31/2021,25120.00,20121.00
2/28/2021,25861.00,20596.00
3/31/2021,27313.00,21012.00
