Date,CPEAX,S&P 500 TR Index
12/22/2011,10000.00,10000.00
12/31/2011,9975.00,10032.07
1/31/2012,10161.00,10481.64
2/29/2012,10597.00,10934.89
3/31/2012,10839.00,11294.73
4/30/2012,11160.00,11223.87
5/31/2012,10520.00,10549.30
6/30/2012,10680.00,10983.96
7/31/2012,10720.00,11136.51
8/31/2012,10870.00,11387.34
9/30/2012,11100.00,11681.62
10/31/2012,10890.00,11465.92
11/30/2012,11270.00,11532.41
12/31/2012,11239.00,11637.52
1/31/2013,11880.00,12240.30
2/28/2013,11880.00,12406.47
3/31/2013,12211.00,12871.75
4/30/2013,12421.00,13119.75
5/31/2013,12712.00,13426.62
6/30/2013,12421.00,13246.32
7/31/2013,13022.00,13920.38
8/31/2013,12611.00,13517.23
9/30/2013,13373.00,13941.11
10/31/2013,14254.00,14581.94
11/30/2013,14765.00,15026.31
12/31/2013,15383.00,15406.74
1/31/2014,15306.00,14874.04
2/28/2014,16343.00,15554.46
3/31/2014,16234.00,15685.18
4/30/2014,15601.00,15801.11
5/31/2014,16354.00,16172.06
6/30/2014,16834.00,16506.12
7/31/2014,16375.00,16278.47
8/31/2014,17576.00,16929.72
9/30/2014,17510.00,16692.31
10/31/2014,17892.00,17100.02
11/30/2014,18874.00,17559.91
12/31/2014,18755.00,17515.67
1/31/2015,18888.00,16989.85
2/28/2015,19560.00,17966.31
3/31/2015,20053.00,17682.17
4/30/2015,19272.00,17851.82
5/31/2015,20137.00,18081.37
6/30/2015,19693.00,17731.33
7/31/2015,20413.00,18102.84
8/31/2015,18743.00,17010.62
9/30/2015,18395.00,16589.71
10/31/2015,19452.00,17989.13
11/30/2015,19765.00,18042.61
12/31/2015,20013.00,17758.05
1/31/2016,18296.00,16876.84
2/29/2016,17687.00,16854.07
3/31/2016,18941.00,17997.40
4/30/2016,18649.00,18067.20
5/31/2016,19940.00,18391.63
6/30/2016,20147.00,18439.31
7/31/2016,21122.00,19119.13
8/31/2016,20768.00,19145.99
9/30/2016,21073.00,19149.57
10/31/2016,20841.00,18800.27
11/30/2016,21377.00,19496.54
12/31/2016,21585.00,19881.89
1/31/2017,22486.00,20258.98
2/28/2017,23302.00,21063.43
3/31/2017,22876.00,21087.96
4/30/2017,23192.00,21304.55
5/31/2017,23996.00,21604.35
6/30/2017,23923.00,21739.20
7/31/2017,24410.00,22186.22
8/31/2017,24666.00,22254.16
9/30/2017,25288.00,22713.21
10/31/2017,26481.00,23243.22
11/30/2017,27285.00,23956.08
12/31/2017,27385.00,24222.43
1/31/2018,28893.00,25609.25
2/28/2018,27734.00,24665.41
3/31/2018,27223.00,24038.56
4/30/2018,27410.00,24130.80
5/31/2018,28457.00,24711.92
6/30/2018,28058.00,24864.01
7/31/2018,29267.00,25789.32
8/31/2018,30801.00,26629.64
9/30/2018,31037.00,26781.21
10/31/2018,28220.00,24950.72
11/30/2018,28370.00,25459.16
12/31/2018,26275.00,23160.46
1/31/2019,27550.00,25016.42
2/28/2019,28959.00,25819.66
3/31/2019,29151.00,26321.37
4/30/2019,29641.00,27387.10
5/31/2019,27713.00,25646.71
6/30/2019,28914.00,27454.20
7/31/2019,29270.00,27848.81
8/31/2019,28232.00,27407.64
9/30/2019,27550.00,27920.46
10/31/2019,27565.00,28525.19
11/30/2019,28736.00,29560.62
12/31/2019,29201.00,30452.85
1/31/2020,29869.00,30440.91
2/29/2020,27093.00,27935.05
3/31/2020,23946.00,24484.69
4/30/2020,26573.00,27623.48
5/31/2020,28578.00,28939.12
6/30/2020,30389.00,29514.67
7/31/2020,31769.00,31178.86
8/31/2020,32972.00,33419.99
9/30/2020,31443.00,32150.12
10/31/2020,30047.00,31295.17
11/30/2020,33788.00,34720.85
12/31/2020,35332.00,36055.82
