Date,CWXAX,S&P 500 TR Index
12/15/2005,10000.00,10000.00
12/31/2005,10318.73,9828.69
1/31/2006,10478.09,10088.94
2/28/2006,10996.02,10116.32
3/31/2006,11673.31,10242.26
4/30/2006,12270.92,10379.75
5/31/2006,11593.63,10081.03
6/30/2006,12908.37,10094.67
7/31/2006,13665.34,10156.98
8/31/2006,14541.83,10398.60
9/30/2006,14980.08,10666.60
10/31/2006,13266.93,11014.16
11/30/2006,14980.08,11223.65
12/31/2006,15737.05,11381.08
1/31/2007,16693.23,11553.19
2/28/2007,13705.18,11327.20
3/31/2007,14262.95,11453.91
4/30/2007,13107.57,11961.24
5/31/2007,13864.54,12378.66
6/30/2007,13306.77,12173.02
7/31/2007,12788.84,11795.58
8/31/2007,14262.95,11972.38
9/30/2007,15298.80,12420.15
10/31/2007,15657.37,12617.72
11/30/2007,15856.57,12090.19
12/31/2007,16414.34,12006.32
1/31/2008,16733.07,11286.17
2/29/2008,16972.11,10919.51
3/31/2008,17131.47,10872.40
4/30/2008,17649.40,11401.90
5/31/2008,18406.37,11549.60
6/30/2008,18565.74,10575.91
7/31/2008,18804.78,10486.99
8/31/2008,19123.51,10638.70
9/30/2008,19601.59,9690.73
10/31/2008,23386.45,8063.17
11/30/2008,23904.38,7484.62
12/31/2008,24661.35,7564.27
1/31/2009,25498.01,6926.69
2/28/2009,26374.50,6189.15
3/31/2009,26454.18,6731.30
4/30/2009,27529.88,7375.55
5/31/2009,27768.92,7788.08
6/30/2009,28127.49,7803.54
7/31/2009,26374.50,8393.75
8/31/2009,27171.31,8696.79
9/30/2009,27091.63,9021.34
10/31/2009,27211.16,8853.76
11/30/2009,27529.88,9384.82
12/31/2009,27729.08,9566.10
1/31/2010,28007.97,9221.98
2/28/2010,28525.90,9507.63
3/31/2010,28804.78,10081.39
4/30/2010,28127.49,10240.54
5/31/2010,29083.67,9422.83
6/30/2010,29322.71,8929.55
7/31/2010,29482.07,9555.16
8/31/2010,30677.29,9123.84
9/30/2010,29402.39,9938.07
10/31/2010,30119.52,10316.24
11/30/2010,30358.57,10317.54
12/31/2010,30557.77,11007.08
1/31/2011,31195.22,11267.95
2/28/2011,29721.12,11653.98
3/31/2011,30996.02,11658.61
4/30/2011,31792.83,12003.88
5/31/2011,32390.44,11868.00
6/30/2011,32749.00,11670.17
7/31/2011,32310.76,11432.88
8/31/2011,33665.34,10811.80
9/30/2011,34501.99,10051.77
10/31/2011,35059.76,11150.35
11/30/2011,35537.85,11125.72
12/31/2011,35577.69,11239.53
1/31/2012,35737.05,11743.21
2/29/2012,36135.46,12251.01
3/31/2012,36772.91,12654.16
4/30/2012,36613.55,12574.77
5/31/2012,37211.16,11819.01
6/30/2012,37131.47,12305.98
7/31/2012,36972.11,12476.90
8/31/2012,37649.40,12757.92
9/30/2012,38047.81,13087.62
10/31/2012,38565.74,12845.95
11/30/2012,38964.14,12920.45
12/31/2012,39442.23,13038.21
1/31/2013,39760.96,13713.54
2/28/2013,40478.09,13899.71
3/31/2013,40996.02,14420.99
4/30/2013,41832.67,14698.84
5/31/2013,38764.94,15042.64
6/30/2013,39800.80,14840.65
7/31/2013,38884.46,15595.84
8/31/2013,39840.64,15144.16
9/30/2013,38486.06,15619.06
10/31/2013,38844.62,16337.02
11/30/2013,37848.61,16834.87
12/31/2013,38127.49,17261.09
1/31/2014,40996.02,16664.27
2/28/2014,41673.31,17426.59
3/31/2014,42071.71,17573.04
4/30/2014,42151.39,17702.93
5/31/2014,42031.87,18118.53
6/30/2014,42908.37,18492.79
7/31/2014,43346.61,18237.75
8/31/2014,43027.89,18967.37
9/30/2014,43625.50,18701.39
10/31/2014,41792.83,19158.17
11/30/2014,40000.00,19673.41
12/31/2014,41079.69,19623.85
1/31/2015,42769.55,19034.74
2/28/2015,42608.62,20128.73
3/31/2015,42769.55,19810.39
4/30/2015,43091.43,20000.46
5/31/2015,43574.25,20257.64
6/30/2015,43694.95,19865.47
7/31/2015,43694.95,20281.69
8/31/2015,44177.77,19058.01
9/30/2015,44378.94,18586.45
10/31/2015,44097.30,20154.30
11/30/2015,44338.71,20214.22
12/31/2015,44287.10,19895.40
1/31/2016,44490.82,18908.13
2/29/2016,44776.01,18882.62
3/31/2016,44613.04,20163.56
4/30/2016,45101.95,20241.76
5/31/2016,45835.32,20605.24
6/30/2016,46487.20,20658.66
7/31/2016,46690.91,21420.30
8/31/2016,49216.95,21450.39
9/30/2016,49379.92,21454.40
10/31/2016,49298.43,21063.06
11/30/2016,48605.81,21843.14
12/31/2016,46859.47,22274.87
1/31/2017,47581.78,22697.34
2/28/2017,38868.98,23598.61
3/31/2017,38914.13,23626.10
4/30/2017,38778.70,23868.75
5/31/2017,38868.98,24204.65
6/30/2017,38868.98,24355.73
7/31/2017,38552.98,24856.55
8/31/2017,38778.70,24932.66
9/30/2017,38056.39,25446.96
10/31/2017,37379.23,26040.77
11/30/2017,36024.91,26839.42
12/31/2017,36205.49,27137.83
1/31/2018,35347.75,28691.58
2/28/2018,35528.33,27634.13
3/31/2018,35663.76,26931.83
4/30/2018,35844.34,27035.17
5/31/2018,36205.49,27686.24
6/30/2018,36431.21,27856.63
7/31/2018,36386.06,28893.31
8/31/2018,35257.46,29834.77
9/30/2018,35573.47,30004.59
10/31/2018,36160.34,27953.78
11/30/2018,36747.22,28523.42
12/31/2018,35438.04,25948.05
1/31/2019,35167.18,28027.39
2/28/2019,36205.49,28927.31
3/31/2019,35934.62,29489.40
4/30/2019,35167.18,30683.41
5/31/2019,36205.49,28733.54
6/30/2019,35483.18,30758.58
7/31/2019,35573.47,31200.68
8/31/2019,35347.75,30706.42
9/30/2019,35392.90,31280.96
10/31/2019,35528.00,31958.47
11/30/2019,34671.00,33118.53
12/31/2019,33632.00,34118.14
1/31/2020,33136.00,34104.76
2/29/2020,33361.00,31297.30
3/31/2020,34084.00,27431.66
4/30/2020,34039.00,30948.24
5/31/2020,34219.00,32422.22
6/30/2020,34400.00,33067.04
7/31/2020,34445.00,34931.54
8/31/2020,34355.00,37442.41
9/30/2020,34445.00,36019.70
10/31/2020,34490.00,35061.84
11/30/2020,34445.00,38899.84
12/31/2020,34806.00,40395.48
1/31/2021,34716.00,39987.64
2/28/2021,35483.00,41090.28
3/31/2021,35799.00,42889.85
