Date,EIXIX,Barclays U.S. Agg. Bond TR Index
12/31/2018,10000.00,10000.00
1/31/2019,10796.30,10106.22
2/28/2019,11051.82,10100.36
3/31/2019,11146.12,10294.29
4/30/2019,11338.72,10296.93
5/31/2019,11277.94,10479.72
6/30/2019,11332.20,10611.31
7/31/2019,11413.88,10634.66
8/31/2019,11431.49,10910.24
9/30/2019,11512.48,10852.15
10/31/2019,11586.00,10884.83
11/30/2019,11641.00,10879.26
12/31/2019,11700.00,10871.69
1/31/2020,11833.00,11080.91
2/29/2020,11892.00,11280.37
3/31/2020,10906.00,11213.96
4/30/2020,11284.00,11413.32
5/31/2020,11656.00,11466.43
6/30/2020,11891.00,11538.70
7/31/2020,12054.00,11711.03
8/31/2020,12150.00,11616.49
9/30/2020,12268.00,11610.13
10/31/2020,12302.00,11558.29
11/30/2020,12397.00,11671.70
12/31/2020,12421.00,11687.77
1/31/2021,12522.00,11603.98
2/28/2021,12576.00,11436.43
3/31/2021,12662.00,11293.61
