Date,INSAX,S&P 500 TR Index
7/29/2011,10000.00,10000.00
8/31/2011,9604.10,9456.76
9/30/2011,8975.20,8791.98
10/31/2011,9881.40,9752.88
11/30/2011,9951.90,9731.34
12/31/2011,9938.41,9830.88
1/31/2012,10557.61,10271.44
2/29/2012,10889.06,10715.59
3/31/2012,11098.78,11068.22
4/30/2012,11024.78,10998.78
5/31/2012,10128.70,10337.74
6/30/2012,10481.09,10763.68
7/31/2012,10511.30,10913.17
8/31/2012,10974.44,11158.97
9/30/2012,11256.35,11447.35
10/31/2012,11256.35,11235.98
11/30/2012,11206.01,11301.14
12/31/2012,11624.67,11404.14
1/31/2013,12396.70,11994.83
2/28/2013,12595.23,12157.66
3/31/2013,13433.44,12613.61
4/30/2013,13786.37,12856.64
5/31/2013,14205.48,13157.35
6/30/2013,13962.84,12980.67
7/31/2013,14624.58,13641.22
8/31/2013,14381.94,13246.15
9/30/2013,14867.22,13661.52
10/31/2013,15385.59,14289.51
11/30/2013,15661.32,14724.96
12/31/2013,16063.51,15097.77
1/31/2014,15639.32,14575.74
2/28/2014,16588.17,15242.52
3/31/2014,16744.45,15370.61
4/30/2014,17034.69,15484.23
5/31/2014,17269.11,15847.74
6/30/2014,17704.47,16175.09
7/31/2014,17548.19,15952.01
8/31/2014,18262.62,16590.20
9/30/2014,17246.79,16357.56
10/31/2014,17447.72,16757.09
11/30/2014,17670.98,17207.75
12/31/2014,17553.21,17164.40
1/31/2015,17158.49,16649.12
2/28/2015,18214.94,17606.01
3/31/2015,17483.55,17327.56
4/30/2015,18122.06,17493.81
5/31/2015,17959.53,17718.75
6/30/2015,17448.73,17375.73
7/31/2015,17843.44,17739.79
8/31/2015,16508.37,16669.47
9/30/2015,15742.16,16257.01
10/31/2015,16380.67,17628.37
11/30/2015,16287.80,17680.78
12/31/2015,16078.83,17401.92
1/31/2016,14999.17,16538.38
2/29/2016,14883.08,16516.06
3/31/2016,15486.76,17636.47
4/30/2016,15208.14,17704.87
5/31/2016,15393.89,18022.80
6/30/2016,15417.10,18069.51
7/31/2016,16009.18,18735.70
8/31/2016,15776.99,18762.02
9/30/2016,15579.63,18765.53
10/31/2016,15335.84,18423.24
11/30/2016,16229.75,19105.54
12/31/2016,16705.73,19483.17
1/31/2017,16856.65,19852.69
2/28/2017,17634.47,20641.01
3/31/2017,17471.94,20665.05
04/30/2017,17657.69,20877.29
05/31/2017,17994.36,21171.09
06/30/2017,17947.92,21303.23
7/31/2017,18180.11,21741.28
8/31/2017,18203.33,21807.86
9/30/2017,18296.20,22257.70
10/31/2017,18748.96,22777.08
11/30/2017,19282.99,23475.65
12/31/2017,19550.00,23736.66
1/31/2018,21291.39,25095.67
2/28/2018,20989.55,24170.75
3/31/2018,20966.33,23556.47
4/30/2018,20827.02,23646.86
5/31/2018,21767.37,24216.33
6/30/2018,21511.97,24365.37
7/31/2018,21918.29,25272.12
8/31/2018,23682.90,26095.59
9/30/2018,23601.64,26244.13
10/31/2018,20966.33,24450.34
11/30/2018,20757.37,24948.59
12/31/2018,18981.15,22695.99
1/31/2019,20478.74,24514.73
2/28/2019,21767.37,25301.86
3/31/2019,22405.88,25793.50
4/30/2019,23206.92,26837.87
5/31/2019,21453.92,25132.37
6/30/2019,22382.66,26903.62
7/31/2019,22916.69,27290.31
8/31/2019,22208.52,26857.99
9/30/2019,21244.95,27360.52
10/31/2019,21616.00,27953.13
11/30/2019,23404.00,28967.80
12/31/2019,23520.00,29842.13
1/31/2020,24565.00,29830.43
2/29/2020,22731.00,27374.82
3/31/2020,18377.00,23993.66
4/30/2020,19596.00,27069.51
5/31/2020,20305.00,28358.76
6/30/2020,21466.00,28922.76
7/31/2020,23474.00,30553.58
8/31/2020,24542.00,32749.76
9/30/2020,23857.00,31505.36
10/31/2020,23010.00,30667.55
11/30/2020,25262.00,34024.53
12/31/2020,26899.00,35332.73
