Date,HANDL: NAV,HANDL: Market,Bloomberg Barclay U.S. Agg. Index
1/16/2018,10000.00 ,10000.00 ,10000.00 
1/31/2018,9996.00 ,9988.00 ,9928.68 
2/28/2018,9809.07 ,9832.19 ,9834.59 
3/31/2018,9749.24 ,9740.75 ,9897.66 
4/30/2018,9704.39 ,9725.16 ,9824.03 
5/31/2018,9847.05 ,9909.94 ,9894.13 
6/30/2018,9839.17 ,9881.20 ,9881.95 
7/31/2018,9963.14 ,9955.31 ,9884.31 
8/31/2018,10142.48 ,10168.35 ,9947.92 
9/30/2018,10071.48 ,10106.33 ,9883.87 
10/31/2018,9692.79 ,9707.13 ,9805.78 
11/30/2018,9754.83 ,9713.92 ,9864.28 
12/31/2018,9517.79 ,9480.79 ,10045.50 
1/31/2019,9895.64 ,9870.45 ,10152.21 
2/28/2019,9987.67 ,10053.05 ,10146.32 
3/31/2019,10241.36 ,10281.26 ,10341.13 
4/30/2019,10348.89 ,10375.84 ,10343.78 
5/31/2019,10269.21 ,10274.16 ,10527.41 
6/30/2019,10608.09 ,10621.43 ,10659.59 
7/31/2019,10679.16 ,10710.55 ,10683.05 
8/31/2019,10844.69 ,10858.35 ,10959.88 
9/30/2019,10850.11 ,10859.44 ,10901.52 
10/31/2019,10941.26 ,10932.20 ,10934.36 
11/30/2019,11005.81 ,11028.40 ,10928.76 
12/31/2019,11134.58 ,11129.86 ,10921.16 
1/31/2020,11319.41 ,11333.54 ,11131.33 
2/29/2020,11074.91 ,10941.40 ,11331.69 
3/31/2020,10262.01 ,10327.58 ,11264.99 
4/30/2020,10969.07 ,10969.96 ,11465.25 
5/31/2020,11250.97 ,11246.40 ,11518.61 
6/30/2020,11441.11 ,11445.46 ,11591.20 
7/31/2020,11856.42 ,11846.06 ,11763.91 
8/31/2020,12079.32 ,12097.19 ,11668.62 
9/30/2020,11880.02 ,11902.43 ,11662.79 
10/31/2020,11716.14 ,11767.93 ,11610.71 
11/30/2020,12316.71 ,12358.68 ,11724.63 
12/31/2020,12521.31 ,12549.00 ,11740.78 
