Date,RTAVF,S&P 500 TR Index
10/31/2018,10000.00,10000.00
11/30/2018,10163.65,10203.78
12/31/2018,9682.75,9282.48
1/31/2019,10070.43,10026.33
2/28/2019,10295.81,10348.26
3/31/2019,10223.69,10549.34
4/30/2019,10449.08,10976.48
5/31/2019,9935.19,10278.95
6/30/2019,10286.80,11003.37
7/31/2019,10449.08,11161.53
8/31/2019,10277.78,10984.71
9/30/2019,10286.80,11190.24
10/31/2019,10259.90,11432.61
11/30/2019,10322.95,11847.61
12/31/2019,10389.42,12205.20
1/31/2020,10333.59,12200.41
2/29/2020,9637.77,11196.09
3/31/2020,8413.63,9813.22
4/30/2020,9146.29,11071.22
5/31/2020,9396.59,11598.51
6/30/2020,9341.13,11829.19
7/31/2020,9739.94,12496.18
8/31/2020,9990.23,13394.40
9/30/2020,9777.16,12885.45
10/31/2020,9654.86,12542.79
11/30/2020,10177.48,13915.77
12/31/2020,10513.62,14450.81
1/31/2021,10588.44,14304.92
2/28/2021,10775.31,14699.37
3/31/2021,11288.82,15343.13
